settlement_id,bank_txn_id,label
SET-001,BK-0001,exact_utr
SET-002,BK-0002,exact_utr
SET-003,BK-0003,exact_utr
SET-004,BK-0004,exact_utr
SET-005,BK-0005,exact_utr
SET-006,BK-0006,exact_utr
SET-007,BK-0007,exact_utr
SET-008,BK-0008,exact_utr
SET-009,BK-0009,exact_utr
SET-010,BK-0010,exact_utr
SET-011,BK-0011,exact_utr
SET-012,BK-0012,exact_utr
SET-013,BK-0013,exact_utr
SET-014,BK-0014,exact_utr
SET-015,BK-0015,exact_utr
SET-016,BK-0016,exact_utr
SET-017,BK-0017,exact_utr
SET-018,BK-0018,exact_utr
SET-019,BK-0019,exact_utr
SET-020,BK-0020,exact_utr
SET-021,BK-0021,exact_utr
SET-022,BK-0022,exact_utr
SET-023,BK-0023,exact_utr
SET-024,BK-0024,exact_utr
SET-025,BK-0025,exact_utr
SET-026,BK-0026,exact_utr
SET-027,BK-0027,exact_utr
SET-028,BK-0028,exact_utr
SET-029,BK-0029,exact_utr
SET-030,BK-0030,exact_utr
SET-031,BK-0031,exact_utr
SET-032,BK-0032,exact_utr
SET-033,BK-0033,exact_utr
SET-034,BK-0034,exact_utr
SET-035,BK-0035,exact_utr
SET-036,BK-0036,exact_utr
SET-037,BK-0037,exact_utr
SET-038,BK-0038,exact_utr
SET-039,BK-0039,exact_utr
SET-040,BK-0040,exact_utr
SET-041,BK-0041,exact_utr
SET-042,BK-0042,exact_utr
SET-043,BK-0043,exact_utr
SET-044,BK-0044,exact_utr
SET-045,BK-0045,exact_utr
SET-046,BK-0046,exact_utr
SET-047,BK-0047,exact_utr
SET-048,BK-0048,exact_utr
SET-049,BK-0049,exact_utr
SET-050,BK-0050,exact_utr
SET-051,BK-0051,exact_utr
SET-052,BK-0052,exact_utr
SET-053,BK-0053,exact_utr
SET-054,BK-0054,exact_utr
SET-055,BK-0055,exact_utr
SET-056,BK-0056,amount_date
SET-057,BK-0057,amount_date
SET-058,BK-0058,amount_date
SET-059,BK-0059,amount_date
SET-060,BK-0060,amount_date
SET-061,BK-0061,amount_date
SET-062,BK-0062,amount_date
SET-063,BK-0063,amount_date
SET-064,BK-0064,amount_date
SET-065,BK-0065,amount_date
SET-066,BK-0066,amount_date
SET-067,BK-0067,amount_date
SET-068,BK-0068,amount_date
SET-069,BK-0069,amount_date
SET-070,BK-0070,amount_date
SET-071,BK-0071,amount_date
SET-072,BK-0072,amount_date
SET-073,BK-0073,amount_date
SET-074,BK-0074,amount_date
SET-075,BK-0075,amount_date
SET-076,BK-0076,messy_ai
SET-077,BK-0078,messy_ai
SET-078,BK-0080,messy_ai
SET-079,BK-0082,messy_ai
SET-080,BK-0084,messy_ai
SET-081,BK-0086,messy_ai
SET-082,BK-0088,messy_ai
SET-083,BK-0090,messy_ai
SET-084,BK-0092,messy_ai
SET-085,BK-0094,messy_ai
SET-086,BK-0096,messy_ai
SET-087,BK-0098,messy_ai
SET-088,BK-0100,messy_ai
SET-089,BK-0102,messy_ai
SET-090,BK-0104,messy_ai
SET-091,,exception
SET-092,,exception
SET-093,,exception
SET-094,,exception
SET-095,,exception
SET-096,,exception
SET-097,,exception
SET-098,,exception
SET-099,,exception
SET-100,,exception
