Bank Statement
==============

bank_txn_id=BK-0043 | amount=999.74 | narration=NEFT RAZORPAY UTR7434873471 | value_date=2026-08-16 | utr=UTR7434873471
bank_txn_id=BK-0068 | amount=5571.69 | narration=RAZORPAY SETTLEMENT pay_1068 | value_date=2026-08-14 | utr=nan
bank_txn_id=BK-0018 | amount=999.09 | narration=NEFT RAZORPAY UTR5667010651 | value_date=2026-08-14 | utr=UTR5667010651
bank_txn_id=BK-0100 | amount=3325.86 | narration=RZP CR 247451 MERCHANT PAYOUT | value_date=2026-08-09 | utr=nan
bank_txn_id=BK-0001 | amount=12000.11 | narration=NEFT RAZORPAY UTR3321819600 | value_date=2026-08-09 | utr=UTR3321819600
bank_txn_id=BK-0015 | amount=4999.76 | narration=NEFT RAZORPAY UTR4657871331 | value_date=2026-08-07 | utr=UTR4657871331
bank_txn_id=BK-0086 | amount=2773.64 | narration=RZP CR 172400 MERCHANT PAYOUT | value_date=2026-08-04 | utr=nan
bank_txn_id=BK-0038 | amount=1499.41 | narration=NEFT RAZORPAY UTR4436995777 | value_date=2026-08-01 | utr=UTR4436995777
bank_txn_id=BK-0002 | amount=499.22 | narration=NEFT RAZORPAY UTR9083863794 | value_date=2026-08-17 | utr=UTR9083863794
bank_txn_id=BK-0103 | amount=5813.44 | narration=GENERIC NEFT CREDIT | value_date=2026-08-19 | utr=nan
bank_txn_id=BK-0054 | amount=2500.11 | narration=NEFT RAZORPAY UTR7262849877 | value_date=2026-08-12 | utr=UTR7262849877
bank_txn_id=BK-0047 | amount=2500.49 | narration=NEFT RAZORPAY UTR5627298069 | value_date=2026-08-13 | utr=UTR5627298069
bank_txn_id=BK-0059 | amount=2944.12 | narration=RAZORPAY SETTLEMENT pay_1059 | value_date=2026-08-15 | utr=nan
bank_txn_id=BK-0030 | amount=4999.04 | narration=NEFT RAZORPAY UTR9826204505 | value_date=2026-08-12 | utr=UTR9826204505
bank_txn_id=BK-0066 | amount=2471.82 | narration=RAZORPAY SETTLEMENT pay_1066 | value_date=2026-08-08 | utr=nan
bank_txn_id=BK-0052 | amount=4999.03 | narration=NEFT RAZORPAY UTR9663193149 | value_date=2026-08-10 | utr=UTR9663193149
bank_txn_id=BK-0110 | amount=4017.42 | narration=UNRELATED UPI CREDIT | value_date=2026-08-20 | utr=UTR1161528098
bank_txn_id=BK-0026 | amount=999.51 | narration=NEFT RAZORPAY UTR5135427849 | value_date=2026-08-05 | utr=UTR5135427849
bank_txn_id=BK-0031 | amount=999.68 | narration=NEFT RAZORPAY UTR5869232260 | value_date=2026-08-04 | utr=UTR5869232260
bank_txn_id=BK-0069 | amount=401.75 | narration=RAZORPAY SETTLEMENT pay_1069 | value_date=2026-08-09 | utr=nan
bank_txn_id=BK-0028 | amount=4999.21 | narration=NEFT RAZORPAY UTR3487401640 | value_date=2026-08-11 | utr=UTR3487401640
bank_txn_id=BK-0013 | amount=4999.32 | narration=NEFT RAZORPAY UTR1543039117 | value_date=2026-08-01 | utr=UTR1543039117
bank_txn_id=BK-0056 | amount=5411.87 | narration=RAZORPAY SETTLEMENT pay_1056 | value_date=2026-08-12 | utr=nan
bank_txn_id=BK-0125 | amount=2727.18 | narration=ATM WDL | value_date=2026-08-12 | utr=UTR2312432921
bank_txn_id=BK-0021 | amount=999.38 | narration=NEFT RAZORPAY UTR4746872343 | value_date=2026-08-13 | utr=UTR4746872343
bank_txn_id=BK-0063 | amount=1383.47 | narration=RAZORPAY SETTLEMENT pay_1063 | value_date=2026-08-20 | utr=nan
