bank_txn_id,amount,narration,value_date,utr
BK-0043,999.74,NEFT RAZORPAY UTR7434873471,2026-08-16,UTR7434873471
BK-0068,5571.69,RAZORPAY SETTLEMENT pay_1068,2026-08-14,nan
BK-0018,999.09,NEFT RAZORPAY UTR5667010651,2026-08-14,UTR5667010651
BK-0100,3325.86,RZP CR 247451 MERCHANT PAYOUT,2026-08-09,nan
BK-0001,12000.11,NEFT RAZORPAY UTR3321819600,2026-08-09,UTR3321819600
BK-0015,4999.76,NEFT RAZORPAY UTR4657871331,2026-08-07,UTR4657871331
BK-0086,2773.64,RZP CR 172400 MERCHANT PAYOUT,2026-08-04,nan
BK-0038,1499.41,NEFT RAZORPAY UTR4436995777,2026-08-01,UTR4436995777
BK-0002,499.22,NEFT RAZORPAY UTR9083863794,2026-08-17,UTR9083863794
BK-0103,5813.44,GENERIC NEFT CREDIT,2026-08-19,nan
BK-0054,2500.11,NEFT RAZORPAY UTR7262849877,2026-08-12,UTR7262849877
BK-0047,2500.49,NEFT RAZORPAY UTR5627298069,2026-08-13,UTR5627298069
BK-0059,2944.12,RAZORPAY SETTLEMENT pay_1059,2026-08-15,nan
BK-0030,4999.04,NEFT RAZORPAY UTR9826204505,2026-08-12,UTR9826204505
BK-0066,2471.82,RAZORPAY SETTLEMENT pay_1066,2026-08-08,nan
BK-0052,4999.03,NEFT RAZORPAY UTR9663193149,2026-08-10,UTR9663193149
BK-0110,4017.42,UNRELATED UPI CREDIT,2026-08-20,UTR1161528098
BK-0026,999.51,NEFT RAZORPAY UTR5135427849,2026-08-05,UTR5135427849
BK-0031,999.68,NEFT RAZORPAY UTR5869232260,2026-08-04,UTR5869232260
BK-0069,401.75,RAZORPAY SETTLEMENT pay_1069,2026-08-09,nan
BK-0028,4999.21,NEFT RAZORPAY UTR3487401640,2026-08-11,UTR3487401640
BK-0013,4999.32,NEFT RAZORPAY UTR1543039117,2026-08-01,UTR1543039117
BK-0056,5411.87,RAZORPAY SETTLEMENT pay_1056,2026-08-12,nan
BK-0125,2727.18,ATM WDL,2026-08-12,UTR2312432921
BK-0021,999.38,NEFT RAZORPAY UTR4746872343,2026-08-13,UTR4746872343
BK-0063,1383.47,RAZORPAY SETTLEMENT pay_1063,2026-08-20,nan
BK-0119,2316.07,ATM WDL,2026-08-11,nan
BK-0053,499.8,NEFT RAZORPAY UTR0586518506,2026-08-19,UTR0586518506
BK-0032,999.74,NEFT RAZORPAY UTR6342160733,2026-08-11,UTR6342160733
BK-0035,2500.35,NEFT RAZORPAY UTR6981693406,2026-08-11,UTR6981693406
BK-0078,2267.21,RZP CR 867533 MERCHANT PAYOUT,2026-08-18,nan
BK-0045,499.41,NEFT RAZORPAY UTR8760366909,2026-08-11,UTR8760366909
BK-0085,5155.06,GENERIC NEFT CREDIT,2026-08-18,nan
BK-0017,499.51,NEFT RAZORPAY UTR7382997376,2026-08-09,UTR7382997376
BK-0049,1499.34,NEFT RAZORPAY UTR4641708053,2026-08-13,UTR4641708053
BK-0087,2773.64,GENERIC NEFT CREDIT,2026-08-05,nan
BK-0117,2289.34,SALARY,2026-08-12,nan
BK-0007,12000.69,NEFT RAZORPAY UTR5030564139,2026-08-08,UTR5030564139
BK-0062,3861.3,RAZORPAY SETTLEMENT pay_1062,2026-08-15,nan
BK-0089,2754.91,GENERIC NEFT CREDIT,2026-08-08,nan
BK-0067,5251.55,RAZORPAY SETTLEMENT pay_1067,2026-08-10,nan
BK-0106,2877.79,UNRELATED UPI CREDIT,2026-08-17,UTR3171390053
BK-0004,1499.85,NEFT RAZORPAY UTR4078161849,2026-08-20,UTR4078161849
BK-0123,1366.46,SALARY,2026-08-08,nan
BK-0070,1615.62,RAZORPAY SETTLEMENT pay_1070,2026-08-20,nan
BK-0022,499.58,NEFT RAZORPAY UTR0500978820,2026-08-18,UTR0500978820
BK-0027,12000.53,NEFT RAZORPAY UTR4124118244,2026-08-18,UTR4124118244
BK-0112,1742.33,IMPS,2026-08-03,nan
BK-0019,999.19,NEFT RAZORPAY UTR7262473178,2026-08-18,UTR7262473178
BK-0051,12000.11,NEFT RAZORPAY UTR7452991241,2026-08-07,UTR7452991241
BK-0024,499.62,NEFT RAZORPAY UTR9985435346,2026-08-14,UTR9985435346
BK-0121,1644.49,UPI/merchant,2026-08-17,UTR5160607159
BK-0092,721.01,RZP CR 946474 MERCHANT PAYOUT,2026-08-12,nan
BK-0055,2500.83,NEFT RAZORPAY UTR4531473799,2026-08-19,UTR4531473799
BK-0034,2500.68,NEFT RAZORPAY UTR5014294019,2026-08-18,UTR5014294019
BK-0101,3325.86,GENERIC NEFT CREDIT,2026-08-10,nan
BK-0029,499.33,NEFT RAZORPAY UTR4278680112,2026-08-05,UTR4278680112
BK-0095,2473.78,GENERIC NEFT CREDIT,2026-08-13,nan
BK-0016,1499.02,NEFT RAZORPAY UTR3930103105,2026-08-18,UTR3930103105
BK-0003,499.76,NEFT RAZORPAY UTR6542351161,2026-08-06,UTR6542351161
BK-0084,5155.06,RZP CR 657809 MERCHANT PAYOUT,2026-08-18,nan
BK-0072,6946.3,RAZORPAY SETTLEMENT pay_1072,2026-08-01,nan
BK-0033,2500.35,NEFT RAZORPAY UTR3036541458,2026-08-08,UTR3036541458
BK-0011,12000.72,NEFT RAZORPAY UTR4514627048,2026-08-18,UTR4514627048
BK-0044,12000.29,NEFT RAZORPAY UTR5581223623,2026-08-09,UTR5581223623
BK-0014,499.98,NEFT RAZORPAY UTR2278248963,2026-08-18,UTR2278248963
BK-0074,4507.56,RAZORPAY SETTLEMENT pay_1074,2026-08-04,nan
BK-0114,1829.05,SALARY,2026-08-05,nan
BK-0105,4987.78,GENERIC NEFT CREDIT,2026-08-13,nan
BK-0109,3237.95,UNRELATED UPI CREDIT,2026-08-10,UTR8961183673
BK-0102,5813.44,RZP CR 516048 MERCHANT PAYOUT,2026-08-18,nan
BK-0108,4548.09,UNRELATED UPI CREDIT,2026-08-17,UTR0076617711
BK-0025,999.67,NEFT RAZORPAY UTR7510799118,2026-08-10,UTR7510799118
BK-0090,3136.7,RZP CR 237474 MERCHANT PAYOUT,2026-08-19,nan
BK-0006,999.37,NEFT RAZORPAY UTR4192832764,2026-08-07,UTR4192832764
BK-0071,3410.83,RAZORPAY SETTLEMENT pay_1071,2026-08-17,nan
BK-0116,1329.64,IMPS,2026-08-14,nan
BK-0091,3136.7,GENERIC NEFT CREDIT,2026-08-19,nan
BK-0050,12000.07,NEFT RAZORPAY UTR0033092327,2026-08-21,UTR0033092327
BK-0094,2473.78,RZP CR 944064 MERCHANT PAYOUT,2026-08-12,nan
BK-0077,2237.29,GENERIC NEFT CREDIT,2026-08-18,nan
BK-0079,2267.21,GENERIC NEFT CREDIT,2026-08-18,nan
BK-0012,999.51,NEFT RAZORPAY UTR4893252880,2026-08-04,UTR4893252880
BK-0111,2926.19,SALARY,2026-08-20,UTR4024455022
BK-0093,721.01,GENERIC NEFT CREDIT,2026-08-12,nan
BK-0037,1499.67,NEFT RAZORPAY UTR6482366299,2026-08-11,UTR6482366299
BK-0048,4999.66,NEFT RAZORPAY UTR6272046537,2026-08-03,UTR6272046537
BK-0096,5047.18,RZP CR 395339 MERCHANT PAYOUT,2026-08-10,nan
BK-0005,1499.58,NEFT RAZORPAY UTR0341316475,2026-08-03,UTR0341316475
BK-0115,1891.73,SALARY,2026-08-09,nan
BK-0120,1542.42,IMPS,2026-08-06,nan
BK-0040,999.15,NEFT RAZORPAY UTR3791769367,2026-08-02,UTR3791769367
BK-0010,12000.16,NEFT RAZORPAY UTR9166978480,2026-08-14,UTR9166978480
BK-0065,2264.24,RAZORPAY SETTLEMENT pay_1065,2026-08-04,nan
BK-0046,2500.48,NEFT RAZORPAY UTR4668893734,2026-08-12,UTR4668893734
BK-0008,12000.31,NEFT RAZORPAY UTR7672423884,2026-08-21,UTR7672423884
BK-0076,2237.29,RZP CR 404499 MERCHANT PAYOUT,2026-08-17,nan
BK-0036,499.52,NEFT RAZORPAY UTR3561595148,2026-08-18,UTR3561595148
BK-0039,12000.21,NEFT RAZORPAY UTR2148951343,2026-08-16,UTR2148951343
BK-0107,8904.98,UNRELATED UPI CREDIT,2026-08-24,UTR2284210205
BK-0104,4987.78,RZP CR 137098 MERCHANT PAYOUT,2026-08-12,nan
BK-0061,2557.69,RAZORPAY SETTLEMENT pay_1061,2026-08-19,nan
BK-0009,12000.58,NEFT RAZORPAY UTR6532871012,2026-08-19,UTR6532871012
BK-0057,4535.17,RAZORPAY SETTLEMENT pay_1057,2026-08-17,nan
BK-0020,499.05,NEFT RAZORPAY UTR0132677360,2026-08-18,UTR0132677360
BK-0041,2500.24,NEFT RAZORPAY UTR0163287083,2026-08-21,UTR0163287083
BK-0124,1261.3,SALARY,2026-08-13,UTR5352181883
BK-0042,499.46,NEFT RAZORPAY UTR8895798687,2026-08-15,UTR8895798687
BK-0080,2113.61,RZP CR 662702 MERCHANT PAYOUT,2026-08-16,nan
BK-0082,868.36,RZP CR 026217 MERCHANT PAYOUT,2026-08-15,nan
BK-0083,868.36,GENERIC NEFT CREDIT,2026-08-15,nan
BK-0118,921.41,IMPS,2026-08-17,UTR0369003432
BK-0113,1936.2,SALARY,2026-08-03,UTR3667525459
BK-0088,2754.91,RZP CR 869222 MERCHANT PAYOUT,2026-08-08,nan
BK-0058,925.82,RAZORPAY SETTLEMENT pay_1058,2026-08-09,nan
BK-0075,7845.91,RAZORPAY SETTLEMENT pay_1075,2026-08-09,nan
BK-0098,4795.08,RZP CR 952145 MERCHANT PAYOUT,2026-08-02,nan
BK-0073,1787.75,RAZORPAY SETTLEMENT pay_1073,2026-08-18,nan
BK-0097,5047.18,GENERIC NEFT CREDIT,2026-08-11,nan
BK-0060,1887.8,RAZORPAY SETTLEMENT pay_1060,2026-08-16,nan
BK-0064,3714.01,RAZORPAY SETTLEMENT pay_1064,2026-08-15,nan
