settlement_id,payment_id,amount,currency,utr,settled_at,status
SET-001,pay_1001,12000.11,INR,UTR3321819600,2026-08-09,settled
SET-002,pay_1002,499.22,INR,UTR9083863794,2026-08-17,settled
SET-003,pay_1003,499.76,INR,UTR6542351161,2026-08-06,settled
SET-004,pay_1004,1499.85,INR,UTR4078161849,2026-08-20,settled
SET-005,pay_1005,1499.58,INR,UTR0341316475,2026-08-03,settled
SET-006,pay_1006,999.37,INR,UTR4192832764,2026-08-07,settled
SET-007,pay_1007,12000.69,INR,UTR5030564139,2026-08-08,settled
SET-008,pay_1008,12000.31,INR,UTR7672423884,2026-08-21,settled
SET-009,pay_1009,12000.58,INR,UTR6532871012,2026-08-19,settled
SET-010,pay_1010,12000.16,INR,UTR9166978480,2026-08-14,settled
SET-011,pay_1011,12000.72,INR,UTR4514627048,2026-08-18,settled
SET-012,pay_1012,999.51,INR,UTR4893252880,2026-08-04,settled
SET-013,pay_1013,4999.32,INR,UTR1543039117,2026-08-01,settled
SET-014,pay_1014,499.98,INR,UTR2278248963,2026-08-18,settled
SET-015,pay_1015,4999.76,INR,UTR4657871331,2026-08-07,settled
SET-016,pay_1016,1499.02,INR,UTR3930103105,2026-08-18,settled
SET-017,pay_1017,499.51,INR,UTR7382997376,2026-08-09,settled
SET-018,pay_1018,999.09,INR,UTR5667010651,2026-08-14,settled
SET-019,pay_1019,999.19,INR,UTR7262473178,2026-08-18,settled
SET-020,pay_1020,499.05,INR,UTR0132677360,2026-08-18,settled
SET-021,pay_1021,999.38,INR,UTR4746872343,2026-08-13,settled
SET-022,pay_1022,499.58,INR,UTR0500978820,2026-08-18,settled
SET-023,pay_1023,4999.08,INR,UTR1913619399,2026-08-06,settled
SET-024,pay_1024,499.62,INR,UTR9985435346,2026-08-14,settled
SET-025,pay_1025,999.67,INR,UTR7510799118,2026-08-10,settled
SET-026,pay_1026,999.51,INR,UTR5135427849,2026-08-05,settled
SET-027,pay_1027,12000.53,INR,UTR4124118244,2026-08-18,settled
SET-028,pay_1028,4999.21,INR,UTR3487401640,2026-08-11,settled
SET-029,pay_1029,499.33,INR,UTR4278680112,2026-08-05,settled
SET-030,pay_1030,4999.04,INR,UTR9826204505,2026-08-12,settled
SET-031,pay_1031,999.68,INR,UTR5869232260,2026-08-04,settled
SET-032,pay_1032,999.74,INR,UTR6342160733,2026-08-11,settled
SET-033,pay_1033,2500.35,INR,UTR3036541458,2026-08-08,settled
SET-034,pay_1034,2500.68,INR,UTR5014294019,2026-08-18,settled
SET-035,pay_1035,2500.35,INR,UTR6981693406,2026-08-11,settled
SET-036,pay_1036,499.52,INR,UTR3561595148,2026-08-18,settled
SET-037,pay_1037,1499.67,INR,UTR6482366299,2026-08-11,settled
SET-038,pay_1038,1499.41,INR,UTR4436995777,2026-08-01,settled
SET-039,pay_1039,12000.21,INR,UTR2148951343,2026-08-16,settled
SET-040,pay_1040,999.15,INR,UTR3791769367,2026-08-02,settled
SET-041,pay_1041,2500.24,INR,UTR0163287083,2026-08-21,settled
SET-042,pay_1042,499.46,INR,UTR8895798687,2026-08-15,settled
SET-043,pay_1043,999.74,INR,UTR7434873471,2026-08-16,settled
SET-044,pay_1044,12000.29,INR,UTR5581223623,2026-08-09,settled
SET-045,pay_1045,499.41,INR,UTR8760366909,2026-08-11,settled
SET-046,pay_1046,2500.48,INR,UTR4668893734,2026-08-12,settled
SET-047,pay_1047,2500.49,INR,UTR5627298069,2026-08-13,settled
SET-048,pay_1048,4999.66,INR,UTR6272046537,2026-08-03,settled
SET-049,pay_1049,1499.34,INR,UTR4641708053,2026-08-13,settled
SET-050,pay_1050,12000.07,INR,UTR0033092327,2026-08-21,settled
SET-051,pay_1051,12000.11,INR,UTR7452991241,2026-08-07,settled
SET-052,pay_1052,4999.03,INR,UTR9663193149,2026-08-10,settled
SET-053,pay_1053,499.8,INR,UTR0586518506,2026-08-19,settled
SET-054,pay_1054,2500.11,INR,UTR7262849877,2026-08-12,settled
SET-055,pay_1055,2500.83,INR,UTR4531473799,2026-08-19,settled
SET-056,pay_1056,5411.87,INR,UTR0752735454,2026-08-11,settled
SET-057,pay_1057,4535.17,INR,UTR3136783777,2026-08-17,settled
SET-058,pay_1058,925.82,INR,UTR6349578856,2026-08-08,settled
SET-059,pay_1059,2944.12,INR,UTR4443135182,2026-08-15,settled
SET-060,pay_1060,1887.8,INR,UTR4989413435,2026-08-16,settled
SET-061,pay_1061,2557.69,INR,UTR2400842710,2026-08-18,settled
SET-062,pay_1062,3861.3,INR,UTR5204711671,2026-08-15,settled
SET-063,pay_1063,1383.47,INR,UTR4131869993,2026-08-19,settled
